Office,Address,Latitude,Longitude,Company
 Dubai ,"TECOM Zone, Dubai Internet City Dubai, United Arab Emirates",25.0929,55.1591,Google
 Haifa ,"Building 30 MATAM, Advanced Technology Center Haifa, 3190500 Israel ",32.78897,34.958432,Google
 Istanbul ,"Eski Buyukdere Caddesi No: 209 34394 Istanbul, Turkey",41.081697,29.00859,Google
 Johannesburg ,"35 Ballyclare Drive Building E Johannesburg 2191, South Africa",-26.0734457,28.032035,Google
 Tel Aviv ,"Yigal Alon 98 Tel Aviv, 6789141 Israel ",32.070043,34.794087,Google
 Bangalore ,"No. 3, RMZ Infinity - Tower E Old Madras Road 4th and 5th Floors Bangalore, 560 016, India",12.99332,77.660176,Google
 Bangkok ,"57 Park Ventures Ecoplex 14th Floor, Wireless Road Bangkok, 10330, Thailand",13.742866,100.547983,Google
 Beijing ,"6th Floor, Tower B, Raycom InfoTech Park No. 2 Kexueyuan South Road Zhongguancun Beijing 100190",39.9848878,116.3265708,Google
 Guangzhou ,"Taikoo Hui Tower 1, No.383 Tianhe Road Guangzhou, 510620 China",23.1339728,113.3332488,Google
 Gurgaon ,"Sector 15, Part II Village Silokhera Gurgaon 122001 India",28.460581,77.048194,Google
 Hong Kong ,"1 Matheson Street Causeway Bay, Hong Kong",22.278203,114.18176,Google
 Hyderabad ,"Survey No. 13, DivyaSree Omega Kondapur Village Hyderabad, Telangana 500084 India",17.458461,78.372452,Google
 Jakarta ,"Pacific Century Place Tower Level 45 SCBD Lot 10, Jl. Jend. Sudirman No.53, RT.5/RW.3, Senayan, Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia",-6.227664,106.808471,Google
 Kuala Lumpur ,"Axiata Tower No. 9, Jalan Stesen Sentral 5 50470 Kuala Lumpur Malaysia",3.133445,101.684609,Google
 Melbourne ,"161 Collins Street, Melbourne VIC 3000, Australia",-37.815328,144.968737,Google
 Mumbai ,"3 North Avenue Maker Maxity, Bandra Kurla Complex Bandra East Mumbai, Maharashtra 400051 India",19.054364,72.850591,Google
 Seoul ,"Google Korea LLC. 22nd Floor, Gangnam Finance Center 152 Teheran-ro, Gangnam-gu Seoul 06236 South Korea",37.500295,127.036843,Google
 Shanghai ,"100 Century Avenue, Pudong Shanghai 200120 China",31.23464,121.507662,Google
 Singapore ,"70 Pasir Panjang Road, #03-71, Mapletree Business City Singapore 117371",1.276466,103.798965,Google
 Sydney ,"48 Pirrama Road Sydney, NSW 2009 Australia ",-33.866638,151.195672,Google
 Taipei ,"No. 7 XinYi Road Section 5, Taipei Taiwan",25.033447,121.564901,Google
 Tokyo - RPG ,"Roppongi Hills Mori Tower 6-10-1 Roppongi Minato-ku, Tokyo 106-6126 Japan",35.66047,139.729231,Google
